Date,Open,High,Low,Close,Adj Close,Volume
1991-10-01,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-02,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-03,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-04,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-07,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-08,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-09,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-10,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-11,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-14,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-15,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-16,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-17,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-18,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-21,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-22,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-23,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-24,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-25,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-28,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-29,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-30,6.786620,6.786620,6.786620,6.786620,1.341875,0
1991-10-31,null,null,null,null,null,null
1991-11-01,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-04,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-05,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-06,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-07,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-08,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-11,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-12,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-13,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-14,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-15,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-18,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-19,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-20,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-21,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-22,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-25,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-26,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-27,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-28,7.507323,7.507323,7.507323,7.507323,1.484375,0
1991-11-29,null,null,null,null,null,null
1991-12-02,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-03,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-04,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-05,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-06,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-09,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-10,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-11,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-12,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-13,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-16,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-17,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-18,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-19,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-20,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-23,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-24,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-25,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-26,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-27,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-30,7.407225,7.407225,7.407225,7.407225,1.464584,0
1991-12-31,null,null,null,null,null,null
1992-01-01,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-02,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-03,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-06,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-07,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-08,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-09,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-10,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-13,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-14,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-15,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-16,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-17,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-20,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-21,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-22,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-23,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-24,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-27,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-28,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-29,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-30,7.867674,7.867674,7.867674,7.867674,1.555625,0
1992-01-31,null,null,null,null,null,null
1992-02-03,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-04,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-05,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-06,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-07,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-10,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-11,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-12,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-13,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-14,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-17,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-18,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-19,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-20,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-21,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-24,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-25,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-26,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-27,7.327147,7.327147,7.327147,7.327147,1.448750,0
1992-02-28,null,null,null,null,null,null
1992-03-02,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-03,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-04,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-05,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-06,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-09,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-10,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-11,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-12,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-13,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-16,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-17,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-18,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-19,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-20,7.447264,7.447264,7.447264,7.447264,1.472500,0
1992-03-23,7.447264,7.447264,7.447264,7.447264,1.472500,0
